SI_LONG SI_LATI code_square
9.965 57.59 44F9
9.979 54.99 38F9
9.988 54.69 38F9
9.988 55.83 40F9
9.995 55.02 39F9
9.995 54.48 37F9
9.995 54.73 38F9
9.995 55.59 40F9
9.995 55.63 40F9
9.996 55.07 39F9
9.996 55.56 40F9
9.996 54.82 38F9
9.996 55.05 39F9
9.996 55.68 40F9
9.996 55.09 39F9
9.996 54.78 38F9
9.996 54.51 38F9
9.996 55.61 40F9
9.996 54.8 38F9
9.996 54.75 38F9
9.996 55.65 40F9
9.996 55.86 40F9
10.02 54.58 38G0
10.03 55.68 40G0
10.03 54.71 38G0
10.03 55.05 39G0
10.03 54.8 38G0
10.03 55.61 40G0
10.03 54.51 38G0
10.03 54.78 38G0
10.03 55.59 40G0
10.03 54.73 38G0
10.03 54.84 38G0
10.03 55.65 40G0
10.03 55.63 40G0
10.03 55.02 39G0
10.03 54.48 37G0
10.03 54.53 38G0
10.03 55.09 39G0
10.03 54.75 38G0
10.03 54.98 38G0
10.03 55 39G0
10.03 54.82 38G0
10.03 55.07 39G0
10.05 55.82 40G0
10.06 58.4 45G0
10.06 58.88 46G0
10.06 58.28 45G0
10.06 59 46G0
10.06 58.76 46G0
10.06 57.8 44G0
10.06 58.16 45G0
10.06 57.68 44G0
10.06 58.64 46G0
10.06 57.92 44G0
10.06 58.52 46G0
10.06 58.04 45G0
10.07 55.68 40G0
10.07 55.63 40G0
10.07 54.57 38G0
10.07 54.8 38G0
10.07 55.05 39G0
10.07 54.98 38G0
10.07 54.55 38G0
10.07 54.62 38G0
10.07 54.71 38G0
10.07 55.14 39G0
10.07 55.79 40G0
10.07 55.72 40G0
10.07 54.93 38G0
10.07 55.7 40G0
10.07 54.96 38G0
10.07 55.02 39G0
10.07 55.61 40G0
10.07 54.75 38G0
10.07 54.66 38G0
10.07 54.51 38G0
10.07 55 39G0
10.07 54.73 38G0
10.07 54.82 38G0
10.07 54.84 38G0
10.07 55.16 39G0
10.07 54.78 38G0
10.07 54.53 38G0
10.07 54.6 38G0
10.07 54.69 38G0
10.07 55.59 40G0
10.07 54.64 38G0
10.07 55.65 40G0
