vid percent
DNK000004561 0
DNK000004561 0
DNK000004561 5e-04
DNK000004561 5e-04
DNK000004561 0
DNK000004561 0.1214
DNK000004561 0
DNK000004561 0.0079
DNK000004561 0.0484
DNK000004561 0
DNK000004561 0
DNK000004561 0
DNK000004561 0
DNK000004561 0
DNK000004561 0
DNK000004561 0
DNK000004561 0
DNK000004561 0
DNK000004561 0
DNK000004838 0
DNK000004838 0
DNK000004838 0
DNK000004838 0
DNK000004838 0
DNK000004838 0
DNK000004838 0
DNK000004838 0
DNK000004838 0
DNK000004838 0
DNK000004838 1.4285
DNK000004838 0
DNK000004838 0
DNK000004838 0
DNK000004838 1.9178
DNK000004838 0
DNK000004838 0
DNK000004838 0
DNK000004838 0
DNK000004838 0
DNK000004838 0
DNK000004838 0
DNK000004838 0
DNK000004838 1.5276
DNK000004838 0
DNK000004838 3.0351
DNK000004838 0
DNK000004838 0
DNK000004838 0.5979
DNK000004838 0
DNK000004838 0
DNK000004838 0
DNK000004838 4.5839
DNK000004838 0
DNK000004838 0
DNK000004838 0
DNK000004838 0
DNK000004838 0
DNK000004873 0
DNK000004873 0.5148
DNK000004873 0
DNK000004873 0
DNK000004873 0
DNK000004873 0
DNK000004873 0
DNK000004873 0
DNK000004873 0.0602
DNK000004873 0.1705
DNK000004873 0
DNK000004873 0
DNK000004873 0
DNK000004873 0
DNK000004873 0
DNK000004873 0
DNK000004873 0
DNK000004873 0
DNK000004873 0
DNK000004873 0
DNK000004873 0
DNK000004873 0
DNK000004873 0
DNK000004873 0
DNK000004873 0.007
DNK000004873 0
DNK000004873 0
DNK000004873 0.0124
DNK000004873 0
DNK000004873 0
DNK000004873 0.6449
DNK000004873 0
DNK000004873 0
DNK000004873 0
DNK000004873 0
DNK000004873 0
DNK000004873 0
DNK000004873 0
DNK000004963 0
DNK000004963 0
DNK000004963 0
DNK000004963 0
DNK000004963 0
DNK000004963 0
DNK000004963 0
DNK000004963 0
DNK000004963 0
DNK000004963 0
DNK000004963 0.0931
DNK000004963 0
DNK000004963 0
DNK000004963 0
DNK000004963 0.0198
DNK000004963 0
DNK000004963 0
DNK000004963 0
DNK000004963 0
DNK000004963 0
DNK000004963 0
DNK000004963 0
DNK000004963 1e-04
DNK000004963 0.0323
DNK000004963 0
DNK000004963 0.0835
DNK000004963 1e-04
DNK000004963 0
DNK000004963 0.1509
DNK000004963 7e-04
DNK000004963 0
DNK000004963 1.5306
DNK000004963 0.1834
DNK000004963 0
DNK000004963 0
DNK000004963 0
DNK000004963 0
DNK000004963 0
DNK000005011 0
DNK000005011 0
DNK000005011 0
DNK000005011 0
DNK000005011 0
DNK000005011 0
DNK000005011 0
DNK000005011 0
DNK000005011 0.4503
DNK000005011 0
DNK000005011 0
DNK000005011 0
DNK000005011 1.3411
DNK000005011 0.0534
DNK000005011 0
DNK000005011 0.0162
DNK000005011 0
DNK000005011 0.0141
DNK000005011 0.0188
DNK000005011 0
