Survey Year ShootLon ShootLat Stock StockId nb_indiv.0 nb_indiv.1 nb_indiv.2 nb_indiv.3 nb_indiv.4 nb_indiv.5 nb_indiv.6 nb_indiv.7 nb_indiv.8 nb_indiv.9 nb_indiv.10 nb_indiv.11 nb_indiv.12 nb_indiv.13
DNK000011420 2015 15.177 54.817 a_stock 11 0 0 4 12 20 21 35 8 57 75 74 81 39 61
DNK000011912 2015 15.092 54.723 a_stock 11 0 0 48 143 165 120 216 481 1776 1803 1659 1846 1071 1375
DNK000013667 2015 15.838 55.047 a_stock 11 0 0 0 0 0 0 0 16 71 82 73 86 57 38
DNK000032153 2015 15.486 55.305 a_stock 11 0 0 2 14 29 42 70 58 136 164 173 172 136 97
DNK000007263 2015 15.571 55.188 a_stock 11 0 0 18 92 100 120 260 154 529 680 655 647 493 328
DNK000001403 2015 15.141 54.998 a_stock 11 0 0 120 607 418 277 505 126 332 399 381 425 421 221
DNK000029865 2015 14.849 54.753 a_stock 11 0 0 7 21 24 17 31 20 84 88 82 94 61 66
DNK000007263 2015 15.571 55.188 a_stock 11 0 0 19 97 110 135 287 175 580 742 720 712 544 365
DNK000011912 2015 15.092 54.723 a_stock 11 0 0 48 143 165 120 216 530 1863 1865 1712 1905 1107 1418
DNK000032153 2015 15.486 55.305 a_stock 11 0 0 3 15 31 45 75 62 146 175 185 184 146 104
DNK000007263 2015 15.571 55.188 a_stock 11 0 0 20 103 121 151 313 197 632 804 785 777 596 401
DNK000032153 2015 15.486 55.305 a_stock 11 0 0 3 16 33 47 80 66 155 186 197 196 155 110
DNK000029865 2015 14.849 54.753 a_stock 11 0 0 7 21 24 17 31 21 86 88 82 94 61 66
DNK000001403 2015 15.202 54.99 a_stock 11 0 0 161 817 560 372 680 155 425 518 496 552 544 288
DNK000032153 2015 15.486 55.305 a_stock 11 0 0 3 17 35 50 85 70 164 197 208 207 164 117
DNK000011420 2015 15.201 54.744 a_stock 11 0 0 3 8 10 8 14 10 62 77 73 81 42 61
DNK000007263 2015 15.571 55.188 a_stock 11 0 0 20 108 132 167 339 219 684 867 851 843 648 438
DNK000011912 2015 15.152 54.715 a_stock 11 0 0 48 143 165 120 216 555 1877 1867 1712 1906 1107 1418
DNK000029865 2015 14.849 54.753 a_stock 11 0 0 7 21 24 17 31 22 86 88 82 94 61 66
DNK000001403 2015 15.202 54.99 a_stock 11 0 0 161 817 560 372 680 171 439 520 496 552 544 288
DNK000007263 2015 15.571 55.188 a_stock 11 0 0 21 114 143 182 366 241 736 930 917 909 700 475
DNK000011912 2015 15.152 54.715 a_stock 11 0 0 48 143 165 120 216 568 1879 1867 1712 1906 1107 1418
DNK000011420 2015 15.201 54.744 a_stock 11 0 0 3 8 10 8 14 12 66 79 75 82 43 62
DNK000034715 2015 16.871 55.222 a_stock 11 0 0 0 2 3 5 12 11 31 49 60 67 33 29
DNK000013667 2015 15.777 55.056 a_stock 11 0 0 5 16 22 29 88 14 105 154 143 172 114 77
DNK000032153 2015 15.486 55.305 a_stock 11 0 0 3 18 37 53 89 74 174 209 220 219 174 124
DNK000029865 2015 14.849 54.753 a_stock 11 0 0 7 21 24 17 31 22 86 88 82 94 61 66
DNK000001403 2015 15.202 54.99 a_stock 11 0 0 161 817 560 372 680 180 442 520 496 552 544 288
DNK000011420 2015 15.201 54.744 a_stock 11 0 0 0 0 0 0 0 14 68 78 74 81 42 61
DNK000001403 2015 15.202 54.99 a_stock 11 0 0 161 817 560 372 680 184 442 520 496 552 544 288
DNK000012025 2015 15.287 54.873 a_stock 11 0 0 0 0 0 0 0 23 62 54 48 52 26 39
DNK000007263 2015 15.571 55.188 a_stock 11 0 0 22 119 154 198 393 263 789 993 984 976 752 513
DNK000013667 2015 15.777 55.056 a_stock 11 0 0 0 0 0 0 0 18 113 153 140 168 111 75
DNK000013667 2015 15.777 55.056 a_stock 11 0 0 0 0 0 0 0 21 87 98 86 102 67 46
DNK000011420 2015 15.201 54.744 a_stock 11 0 0 0 0 0 0 0 17 71 78 72 79 41 60
DNK000012025 2015 15.287 54.873 a_stock 11 0 0 0 0 0 0 0 12 10 2 0 0 0 0
DNK000001403 2015 15.202 54.99 a_stock 11 0 0 161 817 560 372 680 187 442 520 496 552 544 288
DNK000032153 2015 15.498 55.268 a_stock 11 0 0 3 19 39 56 94 78 183 219 232 230 183 130
DNK000001403 2015 15.202 54.99 a_stock 11 0 0 161 817 560 372 680 188 442 520 496 552 544 288
DNK000029865 2015 14.898 54.782 a_stock 11 0 0 7 21 24 17 31 27 93 89 82 94 61 66
DNK000007263 2015 15.582 55.152 a_stock 11 0 0 30 156 183 224 456 277 900 1163 1140 1154 880 594
DNK000011420 2015 15.201 54.744 a_stock 11 0 0 0 0 0 0 0 22 77 76 70 76 39 58
DNK000032153 2015 15.498 55.268 a_stock 11 0 0 3 20 41 59 99 82 192 230 243 242 192 137
DNK000032153 2015 15.498 55.268 a_stock 11 0 0 4 21 43 62 104 87 202 243 256 255 202 144
DNK000012025 2015 15.298 54.837 a_stock 11 0 0 4 13 19 18 32 8 56 74 72 79 38 60
DNK000011912 2015 15.152 54.715 a_stock 11 0 0 52 156 180 130 234 586 1972 1969 1808 2013 1170 1498
DNK000006541 2015 17.982 55.305 a_stock 11 0 0 0 0 0 1 3 1 6 8 8 9 7 5
DNK000013667 2015 15.727 55.027 a_stock 11 0 0 4 12 23 33 99 16 103 145 135 163 107 70
DNK000001403 2015 15.202 54.99 a_stock 11 0 0 192 977 668 444 813 211 516 616 588 654 643 341
DNK000013667 2015 15.727 55.027 a_stock 11 0 0 0 0 0 0 0 17 104 145 135 162 107 70
DNK000011912 2015 15.152 54.715 a_stock 11 0 0 56 169 195 141 254 609 2075 2078 1909 2126 1236 1582
DNK000032153 2015 15.498 55.268 a_stock 11 0 0 4 23 46 66 111 93 217 260 275 273 217 154
DNK000011420 2015 15.152 54.715 a_stock 11 0 0 0 0 0 0 0 19 75 75 69 77 45 57
DNK000012025 2015 15.298 54.837 a_stock 11 0 0 0 0 0 0 0 8 57 74 71 78 38 60
DNK000001403 2015 15.202 54.99 a_stock 11 0 0 192 977 668 444 813 223 528 618 588 654 643 341
DNK000032153 2015 15.498 55.268 a_stock 11 0 0 4 24 49 71 119 99 232 278 294 292 232 165
